Location,Job_Title,,,,,,,,,,,,,
24,Investment Banking & Asset Management,5,,,,,,,,,,,,
25,Gambling,4,,,,,,,,,,,,
26,Gas Stations,4,,,,,,,,,,,,
27,Consumer Products Manufacturing,4,,,,,,,,,,,,
28,Financial Transaction Processing,4,,,,,,,,,,,,
29,Industrial Manufacturing,4,,,,,,,,,,,,
30,Logistics & Supply Chain,4,,,,,,,,,,,,
31,K-12 Education,4,,,,,,,,,,,,
32,Telecommunications Services,4,,,,,,,,,,,,
33,Wholesale,3,,,,,,,,,,,,
34,Stock Exchanges,3,,,,,,,,,,,,
35,Video Games,3,,,,,,,,,,,,
36,Transportation Management,3,,,,,,,,,,,,
37,Consumer Product Rental,3,,,,,,,,,,,,
39,Education Training Services,3,,,,,,,,,,,,
40,Sporting Goods Stores,2,,,,,,,,,,,,
41,Metals Brokers,2,,,,,,,,,,,,
42,Brokerage Services,2,,,,,,,,,,,,
43,TV Broadcast & Cable Networks,2,,,,,,,,,,,,
44,Social Assistance,2,,,,,,,,,,,,
45,Telecommunications Manufacturing,2,,,,,,,,,,,,
46,"Health, Beauty, & Fitness",1,,,,,,,,,,,,
47,Accounting,1,,,,,,,,,,,,
48,Health Care Products Manufacturing,1,,,,,,,,,,,,
49,Mining,1,,,,,,,,,,,,
50,Auctions & Galleries,1,,,,,,,,,,,,
51,Trucking,1,,,,,,,,,,,,
52,Farm Support Services,1,,,,,,,,,,,,
53,Transportation Equipment Manufacturing,1,,,,,,,,,,,,
54,Motion Picture Production & Distribution,1,,,,,,,,,,,,
55,Other Retail Stores,1,,,,,,,,,,,,
56,Beauty & Personal Accessories Stores,1,,,,,,,,,,,,
,,,,,,,,,,,,,,
Job_Type,Python,R,scala,spark,aws,excel,sql,sas,ML,hadoop,tableau,flink,mongo,google_an
Data Analyst,38,74,15,7,12,85,83,13,26,4,44,0,3,11
Data Scientist,266,278,71,93,91,184,207,50,271,70,93,4,21,3
data engineer,77,92,59,67,59,54,87,1,47,50,11,6,13,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Queried_Salary,Python,R,scala,spark,aws,excel,sql,sas,ML,hadoop,tableau,flink,mongo,google_an
<80000,62,72,28,26,20,58,68,6,0,34,20,0,6,3
80000-99999,78,82,18,36,38,53,79,14,0,28,37,3,10,1
100000-119999,67,64,31,34,28,36,56,5,0,19,18,2,10,0
120000-139999,46,59,20,19,13,53,55,15,271,8,34,0,2,0
140000-159999,18,46,4,4,8,53,43,4,0,2,19,0,1,9
>160000,104,113,42,46,50,62,73,20,0,30,17,5,8,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Job Level,Python,R,scala,spark,aws,excel,sql,sas,ML,hadoop,tableau,flink,mongo,google_an
Entry Level,64,105,24,23,21,106,98,19,271,10,53,0,3,9
Mid Level,140,154,46,62,58,111,147,20,0,62,57,3,16,4
Senior Level,171,177,73,80,78,98,129,25,0,49,35,7,18,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Queried_Salary,Data Scientist,data engineer,Data Analyst,,,,,,,,,,,
>160000,116,20,3,,,,,,,,,,,
<80000,8,2,59,,,,,,,,,,,
80000-99999,44,13,29,,,,,,,,,,,
140000-159999,59,28,3,,,,,,,,,,,
120000-139999,73,28,7,,,,,,,,,,,
100000-119999,56,28,13,,,,,,,,,,,
,,,,,,,,,,,,,,
Skills,Skills for Data Analyst,,,,,,,,,,,,,
sql,83,,,,,,,,,,,,,
R,74,,,,,,,,,,,,,
tableau,44,,,,,,,,,,,,,
Python,38,,,,,,,,,,,,,
scala,15,,,,,,,,,,,,,
sas,13,,,,,,,,,,,,,
aws,12,,,,,,,,,,,,,
google_an,11,,,,,,,,,,,,,
spark,7,,,,,,,,,,,,,
hadoop,4,,,,,,,,,,,,,
mongo,3,,,,,,,,,,,,,
ML,0,,,,,,,,,,,,,
flink,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Skills,Skills for Data Engineer,,,,,,,,,,,,,
R,92,,,,,,,,,,,,,
sql,87,,,,,,,,,,,,,
Python,77,,,,,,,,,,,,,
spark,67,,,,,,,,,,,,,
scala,59,,,,,,,,,,,,,
aws,59,,,,,,,,,,,,,
hadoop,50,,,,,,,,,,,,,
mongo,13,,,,,,,,,,,,,
tableau,11,,,,,,,,,,,,,
flink,6,,,,,,,,,,,,,
sas,1,,,,,,,,,,,,,
ML,0,,,,,,,,,,,,,
google_an,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Skills,Skills for Data Scientist,,,,,,,,,,,,,
R,278,,,,,,,,,,,,,
ML,271,,,,,,,,,,,,,
Python,266,,,,,,,,,,,,,
sql,207,,,,,,,,,,,,,
spark,93,,,,,,,,,,,,,
tableau,93,,,,,,,,,,,,,
aws,91,,,,,,,,,,,,,
scala,71,,,,,,,,,,,,,
hadoop,70,,,,,,,,,,,,,
sas,50,,,,,,,,,,,,,
mongo,21,,,,,,,,,,,,,
flink,4,,,,,,,,,,,,,
google_an,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Skills,sql,R,tableau,Python,scala,sas,aws,google_an,spark,hadoop,mongo,ML,flink,
Skills for Data Analyst,83,74,44,38,15,13,12,11,7,4,3,0,0,
Skills for Data Engineer,87,92,11,77,59,1,59,0,67,50,13,0,6,
Skills for Data Scientist,207,278,93,266,71,50,91,3,93,70,21,271,4,
,,,,,,,,,,,,,,
초급직무 상위 4개 기술역량,,,,,,,,,,,,,,
ML,271,,,,,,,,,,,,,
R,105,,,,,,,,,,,,,
SQL,98,,,,,,,,,,,,,
Python,64,,,,,,,,,,,,,
,,,,,,,,,,,,,,
중급직무 상위 4개 기술역량,,,,,,,,,,,,,,
R,154,,,,,,,,,,,,,
SQL,147,,,,,,,,,,,,,
Python,140,,,,,,,,,,,,,
Spark,62,,,,,,,,,,,,,
,,,,,,,,,,,,,,
고급직무 상위 4개 기술역량,,,,,,,,,,,,,,
R,177,,,,,,,,,,,,,
Python,171,,,,,,,,,,,,,
SQL,129,,,,,,,,,,,,,
Spark,80,,,,,,,,,,,,,
,,,,,,,,,,,,,,
분석가 상위 4개 기술역량,,,,,,,,,,,,,,
SQL,83,,,,,,,,,,,,,
R,74,,,,,,,,,,,,,
Tableu,44,,,,,,,,,,,,,
Python,38,,,,,,,,,,,,,
,,,,,,,,,,,,,,
엔지니어 상위 4개 기술역량,,,,,,,,,,,,,,
R,92,,,,,,,,,,,,,
SQL,87,,,,,,,,,,,,,
Python,77,,,,,,,,,,,,,
Spark,67,,,,,,,,,,,,,
,,,,,,,,,,,,,,
과학자 상위 4개 기술역량,,,,,,,,,,,,,,
R,278,,,,,,,,,,,,,
ML,271,,,,,,,,,,,,,
Python,266,,,,,,,,,,,,,
SQL,207,,,,,,,,,,,,,
